Buyer ID,Age,Location,Painting Preference (%),Sculpture Preference (%),Photograph Preference (%),Avg Spend,Views,Likes,Style Preference,Medium Preference,Feedback Sentiment,Repeat Purchases
B0001,62,London,24,21,55,1289,42,3,Contemporary,Sculpture,Positive,6
B0002,30,Berlin,18,84,-2,1135,12,3,Contemporary,Bronze,Positive,9
B0003,61,London,51,95,-46,1619,16,19,Impressionist,Watercolor,Neutral,10
B0004,51,Dubai,79,13,8,1849,12,19,Abstract,Oil,Positive,6
B0005,48,Mumbai,32,57,11,955,7,13,Surreal,Oil,Neutral,4
B0006,65,Berlin,46,41,13,1702,38,20,Abstract,Bronze,Negative,7
B0007,55,London,47,14,39,1509,46,13,Contemporary,Sculpture,Positive,10
B0008,60,Mumbai,94,97,-91,1105,50,6,Abstract,Sculpture,Positive,4
B0009,34,Paris,74,30,-4,582,7,13,Abstract,Mixed Media,Neutral,10
B0010,41,Mumbai,0,13,87,608,17,15,Surreal,Mixed Media,Neutral,9
B0011,25,Dubai,24,98,-22,1398,33,8,Abstract,Digital Prints,Negative,4
B0012,19,Berlin,49,8,43,1718,35,12,Abstract,Oil,Positive,7
B0013,37,Mumbai,95,15,-10,1710,38,11,Realistic,Watercolor,Negative,7
B0014,30,London,22,46,32,1789,33,16,Realistic,Digital Prints,Positive,9
B0015,36,Paris,28,9,63,1209,41,15,Impressionist,Watercolor,Neutral,6
B0016,63,Berlin,67,12,21,720,22,1,Surreal,Oil,Neutral,2
B0017,63,Mumbai,98,34,-32,1705,7,10,Contemporary,Oil,Neutral,10
B0018,20,Dubai,29,95,-24,1519,12,3,Surreal,Bronze,Negative,3
B0019,57,Tokyo,66,20,14,326,14,5,Surreal,Watercolor,Neutral,3
B0020,47,Paris,57,43,0,1721,30,5,Impressionist,Mixed Media,Positive,4
B0021,58,Berlin,34,60,6,436,40,13,Impressionist,Oil,Negative,2
B0022,21,Mumbai,9,81,10,376,16,6,Surreal,Sculpture,Negative,10
B0023,59,Berlin,93,13,-6,1835,49,9,Abstract,Digital Prints,Neutral,4
B0024,30,Mumbai,60,69,-29,733,8,19,Abstract,Digital Prints,Neutral,3
B0025,61,Paris,90,17,-7,1599,17,1,Impressionist,Digital Prints,Positive,5
B0026,41,London,47,100,-47,1838,30,1,Impressionist,Mixed Media,Positive,7
B0027,41,Singapore,25,9,66,1578,45,6,Realistic,Mixed Media,Neutral,6
B0028,29,London,57,87,-44,915,30,15,Surreal,Watercolor,Positive,3
B0029,24,Sydney,83,91,-74,149,22,2,Realistic,Oil,Positive,2
B0030,36,Tokyo,86,65,-51,1980,6,9,Contemporary,Digital Prints,Negative,6
B0031,53,Sydney,2,6,92,850,48,2,Impressionist,Watercolor,Positive,5
B0032,36,Berlin,15,19,66,1291,28,4,Contemporary,Bronze,Negative,9
B0033,44,NYC,35,94,-29,1534,50,20,Contemporary,Mixed Media,Neutral,7
B0034,21,Paris,17,16,67,358,46,7,Abstract,Digital Prints,Negative,9
B0035,36,Tokyo,11,78,11,194,42,7,Abstract,Mixed Media,Neutral,1
B0036,33,London,22,62,16,597,34,1,Impressionist,Bronze,Neutral,7
B0037,25,Tokyo,14,78,8,211,12,15,Contemporary,Oil,Positive,2
B0038,61,Sydney,15,54,31,557,43,4,Impressionist,Digital Prints,Neutral,2
B0039,60,Mumbai,78,26,-4,258,45,16,Surreal,Digital Prints,Negative,4
B0040,51,Toronto,70,20,10,1803,10,13,Realistic,Digital Prints,Positive,8
B0041,64,Mumbai,11,81,8,827,23,9,Contemporary,Oil,Neutral,5
B0042,29,Tokyo,47,52,1,1834,33,14,Surreal,Watercolor,Positive,1
B0043,27,Singapore,14,91,-5,279,7,1,Surreal,Oil,Neutral,5
B0044,44,Mumbai,4,96,0,1237,22,14,Surreal,Oil,Positive,4
B0045,56,Toronto,62,78,-40,249,31,11,Surreal,Sculpture,Negative,3
B0046,33,Singapore,4,84,12,725,46,1,Surreal,Watercolor,Negative,5
B0047,50,Singapore,17,11,72,966,49,18,Surreal,Sculpture,Neutral,9
B0048,53,Mumbai,39,57,4,1185,49,14,Abstract,Sculpture,Negative,1
B0049,56,Toronto,60,94,-54,450,40,9,Impressionist,Sculpture,Negative,6
B0050,18,Sydney,57,36,7,1255,23,19,Surreal,Oil,Neutral,9
B0051,58,Singapore,6,1,93,1080,26,19,Abstract,Sculpture,Positive,7
B0052,44,Toronto,1,99,0,1259,25,17,Impressionist,Watercolor,Neutral,7
B0053,22,Mumbai,57,71,-28,1174,45,10,Surreal,Oil,Negative,3
B0054,57,Mumbai,89,53,-42,1348,10,8,Impressionist,Bronze,Negative,4
B0055,58,Berlin,73,75,-48,456,35,10,Contemporary,Sculpture,Positive,7
B0056,19,Paris,83,33,-16,1153,20,4,Abstract,Bronze,Negative,1
B0057,40,Toronto,68,73,-41,1659,31,13,Impressionist,Mixed Media,Positive,6
B0058,24,Paris,39,73,-12,596,6,8,Contemporary,Sculpture,Positive,3
B0059,54,Paris,31,62,7,216,12,16,Abstract,Sculpture,Negative,9
B0060,64,Berlin,70,72,-42,792,45,8,Abstract,Digital Prints,Positive,3
B0061,56,Mumbai,58,97,-55,404,45,14,Surreal,Mixed Media,Positive,1
B0062,45,NYC,55,76,-31,804,33,9,Realistic,Watercolor,Neutral,4
B0063,49,Tokyo,96,48,-44,1857,45,6,Impressionist,Watercolor,Negative,9
B0064,35,Singapore,20,77,3,632,38,18,Contemporary,Oil,Negative,2
B0065,26,Sydney,90,88,-78,747,37,8,Impressionist,Mixed Media,Negative,3
B0066,35,NYC,8,3,89,495,36,9,Impressionist,Watercolor,Neutral,5
B0067,34,London,91,59,-50,649,25,3,Realistic,Mixed Media,Positive,2
B0068,43,London,3,41,56,1190,38,4,Impressionist,Oil,Negative,7
B0069,43,Tokyo,88,80,-68,1429,13,13,Impressionist,Watercolor,Negative,5
B0070,51,Toronto,17,34,49,1471,49,6,Impressionist,Mixed Media,Positive,7
B0071,48,London,94,82,-76,876,23,1,Realistic,Mixed Media,Positive,1
B0072,28,Paris,60,100,-60,497,21,4,Contemporary,Sculpture,Negative,9
B0073,19,Berlin,66,61,-27,919,25,10,Contemporary,Oil,Neutral,6
B0074,23,Tokyo,36,60,4,1538,24,12,Impressionist,Digital Prints,Negative,9
B0075,53,NYC,55,75,-30,1873,29,10,Contemporary,Digital Prints,Neutral,6
